,case,date,code,court,Unintelligible,NOTAccountable,text
297,"Lord Hawke v Corri, calling herself Lady Hawke",16 May 1820,[1820] 161 E.R. 743,Court of King's Bench,1,,"If it is as contended, all that the Court has to observe upon it at present is that if any such prior marriage was existing, this act, if it passed, was a most UNACCOUNTABLE act of profanation in which the parties, for no reason whatever, being adjured in the name of the Supreme Being, and in the most solemn style in which an oath can be conceived, to declare whether either of them knew of any impediment to their marriage, take upon themselves to declare that there was none, though both perfectly well knew that there was an impe- [288] -diment perfectly insuperable."
298,"William Macdonald v Mrs. Elizabeth Macdonald, otherwise Lillie, and John Lillie, of Forres, her Husband, for his interest",20 May 1819,(1819) I Bligh 315,House of Lords,1,,It is UNACCOUNTABLE that the security was not made complete by intimation.
299,2,6 July 1818,(1818) 3 Swanston 1,CCP,1,,"Two miscarried, the other went safe; which makes the matter still more UNACCOUNTABLE."
300,Layng v Yarborough,12 July 1817,(1817) 4 Price 383,Court of Exchequer,1,,"How can that consist? The first proposition was, that the renew cow paid only a penny halfpenny for milk; then they say the renew cow does not pay a penny halfpenny for the milk, but the modus dances, shifts, and leaps from the simple subject of the milk, and is confounded with the two other subjects; and by a most UNACCOUNTABLE effect, that cow, which in respect of its milk pays only a penny halfpenny when she has ten calves, pays five shillings in lieu of the penny halfpenny; and so when there are five calves, two shillings and sixpence is to be paid in lieu of that one penny halfpenny."
301,"“Experimento”—(Garcia), formerly “Experiment”—(Rutherford)",11 May 1815,(1815) 2 Dodson 38,High Court of Admiralty,1,,"Now I must say that this is one of the most UNACCOUNTABLE parts of this transaction, that the master should have quitted the ship in the way he did, without putting her in the care of any person."
302,“Friendship”—(Cox),"February 11, 1814",(1814) 1 Dodson 373,High Court of Admiralty,1,,"After this, it is not fairly open to him to allege surprise, or to take advantage of omissions (very UNACCOUNTABLE, certainly), in a subsequent stage of the proceedings—in the libel, although it must be matter of surprise that such a document so constructed, with such violations of the rules, not only of good pleading, but of common grammar and common sense, should find its way from the hand of any practitioner into the registry of any Court."
303,Santo Thomas,13 June 1811,(1811) II Acton 86,Privy Council (UK),1,,"master's testimony, whose evidence, by the UNACCOUNTABLE negligence of the claimant, it was now impossible to procure, having long since, in all probability, left this country."
305,"Fairfield (on the demise of Amory Hawkesworth and Martha his Wife, and of Amory Hawkesworth and Daniel Prendergast) v Morgan; in Error",11 July 1805,(1805) 2 Bosanquet and Puller (New Reports) 38,Court of Common Pleas,1,,"Arnold and Stephen, for the Captor, observed, that the claimants could not be permitted to enter into proof of their claims after such UNACCOUNTABLE negligence and delay."
306,Mortlock v Buller,24 December 1804,(1804) 10 Vesey Junior 292,Ct of Chancery,1,,"Buller , to sell by auction, unless he could sell advantageously by private contract, is most UNACCOUNTABLE: but certainly the Plaintiff is not concerned in that: the agent's advice, if an offer, from £24,000 to £27,000, should be made, to have a *864  consultation; also recommending a survey in the mean time: a declaration therefore, that it would not be a provident act to carry the estate to sale without farther examination of its value."
307,Addison v Overend,15 June 1796,(1796) 6 Term Reports 766,Court of King's Bench,1,,"It seems UNACCOUNTABLE to me that that should be destructive of the plaintiff's action, if it appeared in one stage of the cause, and should not, if it appeared in another stage, namely, in a special verdict."
308,Fletcher v Fletcher,27 November 1788,(1788) 2 Cox 99,Ct of Chancery,1,,"Then 2dly, was this agreement in any manner waved? The conduct of the parties after this paper was signed seems very UNACCOUNTABLE."
309,Land v Lord North and the Governor and Company of the Bank of England,22 April 1785,(1785) 4 Douglas 266,Court of King's Bench,1,,"That men possessing the strongest mental powers, accustomed to a quick application of them, and at the moment this happened in the very exercise of them, should be unable to apply the smallest degree of reflection, which in this case would have been fully sufficient to have prevented the consequences, is truly UNACCOUNTABLE.”]"
310,Jones v Smart,1 January 1785,(1785) 1 Term Reports 44,Court of King's Bench,1,,"But, 3dly, what I most rely on, are the many UNACCOUNTABLE absurdities which must flow from a different interpretation."
311,Volkert Hendricks and others v William Cunningham and others,2 May 1783,(1783) V Brown 328,House of Lords,1,,"2do , The UNACCOUNTABLE conduct of Captain Hendricks in manufacturing, which they at first called forgery, two bills of lading after the vessel was seized, and bearing a false date: that a bill of lading was necessary, and is never dispensed with, except where some concealment is intended; and accordingly, one of the articles of the ostensible instructions to Hendricks was “to dispatch two manifestos of the cargo, and the bills of lading, with the ship's journal, as soon as the vessel should return to the Texel from Curaçoa.”"
313,"Ann Salter v Francis Hite, and Others",31 January 1775,(1775) VII Brown 189,House of Lords,1,,"Nor was such an intent, though particular, UNACCOUNTABLE; because it might naturally flow from the equality of the testator's affection towards his brother and sister, whilst he was framing this part of the will."
314,Edmund Filmer and others v Henry Thomas Gott,3 February 1774,(1774) IV Brown 230,House of Lords,1,,"Gott was an old lady, who had for years been confined to her bed; the bargain was made, and the conveyance executed in the dark; no friend of hers, no indifferent person of honour and skill consulted on her part; the interval between the bargain made, and the conveyance executed, was unnaturally short; the respondent's extraordinary expedition was quite UNACCOUNTABLE, upon the idea that he thought the bargain a fair and honest one; the manner in which the deeds were drawn, and the price was to be secured, a bare personal security by bond , was prescribed by the respondent himself; the operative part of the deed was a curiosity, it extended infinitely further than the recited agreement, and conveyed all the estates which Sarah Gott might have in possession, reversion, remainder, or expectancy within Great Britain; it passed also by express words, the arrears of rent due to her , and comprehended the stock on the farm, household goods , etc."
315,Corporation of Kingston upon Hull v Horner,1 January 1774,(1774) Lofft 576,Court of King's Bench,1,,"It is UNACCOUNTABLE how the word port should have escaped those charters if ever thought of, or how not thought of if there was a port before the time of R."
316,Insurance,1 January 1773,(1773) Lofft 212,Court of King's Bench,1,,"If he had, he might have seen that ships had gone out about the time that this ship of the defendant's did go, and were lost; that as to the date of the letter, it was very remarkable that [213] the under-writer should not take notice of this, either mistake or misrepresentation, till the ship was lost; which, it was observed, looked like UNACCOUNTABLE laches or craft on that side."
317,Somerset v Stewart,14 May 1772,(1772) Lofft 1,Court of King's Bench,1,,"Stewart; even a supposed one: for till the matter was determined, it were somewhat UNACCOUNTABLE that a negro should depart his service, and put the means out of his power of trying that right to effect, by a flight out of the kingdom."
318,Brown v Kenyon. H. T.,1 January 1767,(1767) Burrell 30,High Court of Admiralty,1,,"On the whole of the evidence the Judge gave sentence, and in a very UNACCOUNTABLE manner condemned the prosecutor in costs, though the defendants own they had prohibited commodities on board, which must justify the seizure, though they should not be forfeited, and though the defendants should exculpate themselves."
319,"Allen Evans, Esquire v Sir Thomas Harrison, Knight, Chamberlain of London",5 July 1762,(1762) Wilmot 130,Court of King's Bench,1,,"Fitzherbert was of *61  a different opinion as to the rule itself; and it does seem to be very UNACCOUNTABLE, that a man should be at liberty to avoid his own act, by the duress of man, and not by the duress of Heaven: and the reason given for it in the books, that a man cannot know what he did when he was mad, is to me quite unintelligible; for what inconsistency is there in saying, he does not know he ever did such an act; but if he did, he was mad when he did it? The best and the truest reason seems to be, that the law has directed a particular mode of inquiry for the manifestation of insanity, and avoiding the acts of persons under that unhappy visitation."
320,Lancaster v Thornton,12 June 1760,(1760) 2 Burrow 1027,Court of King's Bench,1,,"Ashhurst says, can not be complied with, in this case, without an implication of a devise to the executors; because it must otherwise descend to the heir at law in the mean time; who, he says, would not be chargeable with the intermediate rents and profits, but altogether UNACCOUNTABLE for them."
321,Fawcet v Lowther,15 June 1751,(1751) 2 Vesey Senior 300,Ct of Chancery,1,,"Though a custom for a copyholder for life to commit waste would not be good; yet for a copyholder in fee to do so it is good; though much more diminishing the Lord's estate; and much more UNACCOUNTABLE how such a custom should grow up, than this."
322,Lord Teynham v Webb,2 March 1751,(1751) 2 Vesey Senior 198,Ct of Chancery,1,,"But to consider it in the third view, here is a grand-mother, who knew the settlement made on her daughter's marriage with the late Lord Teynham , and that it was a settlement of the whole estate on the eldest son for the time being, without any provision for the [203] younger children, although she brought a fortune of £12,000 which UNACCOUNTABLE defect she had a mind to remedy in some degree, but could not do it completely; for if it had been a provision in a marriage-settlement for portions, maintenance would be directed for the younger children after death of the father; so that she did it in some degree, but still leaving it in some measure to Lord Teynham."
323,The Bishop of Cloyne v Young,7 December 1750,(1750) 2 Vesey Senior 91,Ct of Chancery,1,,"Certainly it is by no means sufficient of itself to exclude the executors, or either of them, from the surplus; but when taken with the other circumstances, and with the inchoate disposition afterward, it corroborates this opinion; for it is UNACCOUNTABLE, that if a man intended to give the surplus of his personal estate to these two executors, he should, when so great a surplus came to be divided between them, give to one a debt from the other, and not rather leave that debt at home."
324,"The Earl of Chesterfield and Others, Executors of John Spencer Esq. v Sir Abraham Janssen, Baronet",18 June 1750,(1750) 1 Atkyns 301,Ct of Chancery,1,,"People have as many ways of running out, as getting estates, UNACCOUNTABLE how: He had contracted £20,000 debts, and debts to tradesmen, as is insisted on our side; the witnesses swear that he was pressed by tradesmen, and that the debts amounted to this sum."
325,Visitors,1 January 1744,(1744) 2 Equity Cases Abridged 751,Ct of Chancery,,1,", should yet be UNACCOUNTABLE for their Receipts; this would be such a Privilege as might of itself be a Temptation to a Breach of Trust.—Fifthly,"
326,Coulson v Coulson,1 January 1739,(1739) 2 Strange 1125,Court of King's Bench,1,,"To the rest of mankind it must remain UNACCOUNTABLE, and therefore be often unattended to, that a manifest design to give an estate for life to the first taker, will be frustrated by the use of the word heirs, &c."
327,John Middleton and Ann his Wife v Thomas Crofts,1 January 1736,(1736) 2 Atkyns 650,Ct of Chancery,1,,"To this way of arguing it hath been objected, that the reason of establishing provisions of this kind by acts of parliament, was for the sake of enforcing them by civil sanctions and temporal penalties, which could not otherwise be obtained, and undoubtedly this was one reason for it; but I cannot be persuaded that it was the only reason, since if it had been the prevailing opinion of those times, that the clergy in convocation could make new canons to bind the laity, it is most UNACCOUNTABLE that they should not think it proper to trust any regulations of the most minute consesequence to the proper force of canon or synodical decree, which if lawfully made might be carried into execution by excommunication, and the consequences attending upon it were a sanction fully sufficient to enforce it."
328,The King v Dr. Bettesworth,1 January 1733,(1733) W. Kelynge 156,Ct of Chancery,1,,"Supposing therefore she should never exhibit, it seems UNACCOUNTABLE that this should prevent the next of Kin from having Administration."
329,Pratt and Pratt,"29 May, 1731",(1730) Fitz-Gibbon 284,Court of King's Bench,1,,"Master of the Rolls: The heir at law, in the statute, is in the singular number, and therefore it is UNACCOUNTABLE how the words, any child or children, not being heir at law, came to be thrown in."
330,John Astell v John Andrews,1 January 1726,(1726) 2 Lord Raymond 1421,Court of King's Bench,1,,for otherwise the expression in the Act is UNACCOUNTABLE.
331,The Case of Birmingham School,1 January 1726,(1726) Gilbert 178,Ct of Chancery,,1,"But because an Act of Parliament lodges the Visitatorial Power in the Governors, who have the Revenue, and expresly thereby makes them UNACCOUNTABLE; this will be no Rule to expound the King's Grant by that which appoints Governors of an Hospital, and makes them a Corporation, and lodges the Revenue in them."
332,Eden v Foster,3 July 1725,(1725) Select Cases Temp. King 36,Ct of Chancery,1,,"But if there are negative words, and he declares he will not visit, no visitatorial power remains; but those words must be very plain to show his intent; because the nature of the thing is so strongly against it, that the persons, in whose hands the money is, and whose interest it is to misapply it, would be UNACCOUNTABLE and irresponsible; so that the words should be very plain to show so unreasonable an intention; if they are so, no more is to be said, but stet pro ratione voluntas ."
333,Eden v Foster,1 January 1725,(1725) 2 Peere Williams 325,Ct of Chancery,,1,"And therefore, 4 thly , That in those cases where the governors or visitors are said not to be accountable , it must be intended, where such governors have the power of government only, and not where they have the 1 legal estate and are intrusted with the receipt of the rents and profits (as in the present case), for it would be of the most pernicious consequence imaginable, that any person intrusted with the receipts of rents and profits, and especially for a charity, though they [327] misemploy never so much these rents and profits, should yet be UNACCOUNTABLE for their receipts; this would be such a privilege as might of itself be a temptation to a breach of trust."
334,Burr v Davall,1 January 1722,(1722) 8 Modern 59,Court of King's Bench,1,,"A will, well executed, shall not be set aside, or the testator considered non compos mentis , on account of the dispositions therein being imprudent or UNACCOUNTABLE."
335,Adam Cusack v Elinor Cusack,10 May 1714,(1714) V Brown 116,House of Lords,1,,"King), that by the articles in question, Robert Cusack was tenant in tail; the words being, that the estate should come to the heirs male of his body; which could never be designed to take away his own estate, and it would be very UNACCOUNTABLE, by guessing at intentions, to deprive children of their portions and necessary maintenance."
336,The King v Hornby,1 January 1700,(1700) 5 Modern 29,Court of King's Bench,1,,"[52] I shall conclude this point with this observation, that since there were two great powers in the Barons (as is pretended), one of bringing in money into the Exchequer, and the other of paying it out, that yet these books should be all silent as to the greatest power of paying it out, is very strange and UNACCOUNTABLE; which indeed does induce me to believe, that there is no such power in the Barons, and that those petitioners have mentioned in their petition the only way of having their annuities; that is, as their former payments were made, viz."
337,"Sir William Leagh & al' v J. Thomson, Lessee of Charles Leach",1 January 1698,(1698) Shower 150,House of Lords,1,,"'Tis a Rule UNACCOUNTABLE, That a Man shall not stultify himself; that he shall not be able to excuse himself by the Visitation of Heaven, when he may plead Duress from Men, to avoid his own Act."
338,"In the Middle Temple—Hall, Com' Mountague & alii v Com. Bathen. & al', & econ'",12 December 1693,(1693) 3 Cases in Chancery 55,Ct of Chancery,1,,"Now after all this, that the Duke should make his last Will, and give all this Estate to a Stranger (for so as to any Thing appears in Proof) and give nothing to the Earl of Bath , when by the former Settlement he had given him such hopes of so great a Share; this I think is a very UNACCOUNTABLE Thing; and, I confess, I know not how to extricate my self out of the Confusion it causes in me; but I must set the one against the other as to that Objection, and leave the Matter in the dark, as to the Duke's Honour, as I found it; tho', I think, I may give a further Answer to this Objection under the second Head."
339,Lord Townsend v Dr. Hughes,1 January 1676,(1676) 2 Modern 150,Court of King's Bench,1,,"The jury in this case ought to have respect only to the damage which the plaintiff sustained, and not to do an UNACCOUNTABLE thing that he might have an opportunity to shew himself generous; and as the Court ought with one eye to look upon the verdict, so with the other they ought to take notice what is contained in the declaration, and then to consider whether the words and damages bear any proportion; if not, then the Court ought to lay their hands upon the verdict: it is true, they cannot lessen the damages, but if they are too great the Court may grant a new trial."
340,"Jeffreson, Executor of Jeffreson v Morton, and Dawson, and Others, Tertenants of Yarway",1 January 1668,(1668) 2 WMS. Saunders 6,Court of King's Bench,1,,"If a scire facias be against the heir alone, it is said that he is not entitled to receive contribution from a purchaser; which seems rather UNACCOUNTABLE, as the heir is chargeable only as tenant of the land; but if there be several heirs, such as parceners, heirs in gavelkind, or borough English, and one only be charged, he is entitled to contribution from the other heirs, and therefore may plead this plea."
341,Emery and Others v Cichero,21 November 1883,(1883) 9 App. Cas. 136,Privy Council,1,,"That she, the Bunin , kept her course; but that the Arklow , by some UNACCOUNTABLE mismanagement, as it is stated, ran into the Bunin , striking her about the fore rigging on the starboard side with her stern."
342,"M'Kew v Holland, Hannen, Cubitts (Scotland) Ltd.",26 November 1969,1970 S.C. (H.L.) 20,House of Lords,1,,"If, on the other hand, the action which resulted in the injury was something UNACCOUNTABLE, “a new cause which disturbs the sequence of events, something which can be described as either unreasonable or extraneous or extrinsic,” the chain of causation is broken."
343,Tenison Edwards and Wife v A. B. Warden and Others and the Secretary of State for India,7 April 1876,(1876) 1 App. Cas. 281,House of Lords,1,,That there has been UNACCOUNTABLE delay in asserting the claim cannot be denied; and a question arises from what time this delay must be taken to have prejudiced the right to which Mrs.
345,Robert Gardner v Mary Gardner,30 May 1876,(1876) 3 R. 695,"Court of Session, 2d Division",1,,"Nor do I think it improves the position of the pursuer, but, on the contrary, renders his conduct all the more UNACCOUNTABLE, that *717  on his ascertaining, before the marriage, the condition in which his wife was, she refused to disclose to him the name of the individual with whom she must have had illicit intercourse, notwithstanding that he desired and pressed her to do so."
346,Crane Appellant; v Director of Public Prosecutions Respondent.,6 June 1921,[1921] 2 A.C. 299,House of Lords,1,,"If some adequate substitute be not expressly or impliedly provided for the valuable machinery which is thus taken away, one would be forced to the conclusion that a mischievous and UNACCOUNTABLE blunder, most hurtful to the subject and embarrassing in the administration of justice, had been committed in the drafting of the Act."
